"Player","Tm","Att 20","Yds 20","TD 20","%Rush 20","Att 10","Yds 10","TD 10","%Rush 10","Att 5","Yds 5","TD 5","%Rush 5"
"Andy Dalton","CIN","7","19","4","12.5%","5","11","4","15.2%","4","6","3","19.0%"
"Derrius Guice","WAS","7","11","2","15.9%","3","2","2","14.3%","3","2","2","21.4%"
"Ty Johnson","DET","7","16","0","13.7%","5","11","0","14.3%","1","1","0","7.1%"
"Patrick Mahomes","KAN","7","45","2","10.4%","3","11","0","8.6%","0","0","0","0.0%"
"Baker Mayfield","CLE","7","31","3","10.4%","6","20","3","14.0%","1","1","1","5.3%"
"Dare Ogunbowale","TAM","7","2","2","12.5%","7","2","2","19.4%","7","2","2","35.0%"
"Tarik Cohen","CHI","6","16","0","11.8%","4","9","0","12.1%","1","0","0","6.3%"
"Sam Darnold","NYJ","6","19","2","18.8%","3","9","2","23.1%","2","6","2","28.6%"
"Wayne Gallman","NYG","6","10","2","12.8%","4","4","2","13.3%","4","4","2","30.8%"
"Robert Griffin","BAL","6","4","0","5.8%","4","5","0","7.0%","0","0","0","0.0%"
"Taysom Hill","NOR","6","1","0","8.7%","2","-2","0","5.6%","0","0","0","0.0%"
"Devlin Hodges","PIT","6","-3","0","10.2%","5","-9","0","15.2%","2","-10","0","15.4%"
"Bo Scarbrough","DET","6","23","1","11.8%","4","17","1","11.4%","0","0","0","0.0%"
"Chris Thompson","WAS","6","13","0","13.6%","4","10","0","19.0%","2","2","0","14.3%"
"Mitchell Trubisky","CHI","6","15","1","11.8%","3","11","1","9.1%","1","2","1","6.3%"
"Brandon Bolden","NWE","5","18","3","6.3%","5","18","3","9.3%","3","6","2","11.5%"
"Chase Edmonds","ARI","5","5","0","8.6%","1","2","0","3.7%","0","0","0","0.0%"
"Myles Gaskin","MIA","5","4","1","8.5%","2","-2","1","6.1%","1","2","1","6.7%"
"Dontrell Hilliard","CLE","5","22","2","7.5%","3","7","2","7.0%","2","5","2","10.5%"
"Justin Jackson","LAC","5","9","0","8.6%","1","0","0","2.8%","0","0","0","0.0%"
"Daniel Jones","NYG","5","37","2","10.6%","3","16","2","10.0%","1","2","0","7.7%"
"J.D. McKissic","DET","5","19","0","9.8%","3","-1","0","8.6%","0","0","0","0.0%"
"Bilal Powell","NYJ","5","4","0","15.6%","1","0","0","7.7%","0","0","0","0.0%"
"Kyle Allen","CAR","4","19","2","6.0%","3","2","1","7.5%","2","1","1","9.5%"
"Matt Breida","SFO","4","3","0","5.2%","2","-2","0","5.0%","1","-2","0","4.5%"
"Derek Carr","OAK","4","10","2","6.3%","3","7","2","8.8%","3","7","2","15.8%"
"Jeff Driskel","DET","4","4","1","7.8%","3","2","1","8.6%","1","2","1","7.1%"
"Trey Edmunds","PIT","4","2","0","6.8%","1","-2","0","3.0%","1","-2","0","7.7%"
"Kareem Hunt","CLE","4","18","2","6.0%","2","9","2","4.7%","1","3","1","5.3%"
"Marcus Mariota","TEN","4","21","0","7.3%","2","13","0","6.9%","0","0","0","0.0%"
"C.J. Prosise","SEA","4","14","1","5.8%","3","9","1","8.3%","1","1","0","5.9%"
"Curtis Samuel","CAR","4","28","1","6.0%","2","12","1","5.0%","0","0","0","0.0%"
"Ryan Tannehill","TEN","4","20","3","7.3%","3","14","3","10.3%","2","4","2","16.7%"
"Derek Watt","LAC","4","8","1","6.9%","3","5","1","8.3%","1","1","1","4.8%"
"Kirk Cousins","MIN","3","4","1","3.3%","3","4","1","4.9%","2","0","1","8.3%"
"Jon Hilliman","NYG","3","9","0","6.4%","2","7","0","6.7%","0","0","0","0.0%"
"Wes Hills","DET","3","5","2","5.9%","3","5","2","8.6%","3","5","2","21.4%"
"Travis Homer","SEA","3","-4","0","4.3%","2","-1","0","5.6%","0","0","0","0.0%"
"Alec Ingold","OAK","3","2","0","4.8%","3","2","0","8.8%","3","2","0","15.8%"
"Case Keenum","WAS","3","-1","1","6.8%","2","1","1","9.5%","2","1","1","14.3%"
"Dion Lewis","TEN","3","17","0","5.5%","0","0","0","0.0%","0","0","0","0.0%"
