Player,Position,Team,Opp,Salary,Floor,Value,Ceiling,Value
Ricardo Louis,WR,MIA,@NE,3000,0,-5.91,11.5,5.6
Cedrick Wilson,WR,DAL,@LAR,3000,0,-5.91,12.1,6.17
Jalen Guyton,WR,LAC,@CIN,3000,0,-5.91,16.8,10.93
Marcedes Lewis,TE,GB,@MIN,3000,0,-5.46,11.8,6.35
Chase Claypool,WR,PIT,@NYG,3000,0,-5.91,15.2,9.28
Keith Kirkwood,WR,CAR,LV,3000,0,-5.91,11.7,5.82
Mike Thomas,WR,CIN,LAC,3000,0,-5.91,11.5,5.6
Gunner Olszewski,WR,NE,MIA,3000,0,-5.91,12.9,7
Mack Hollins,WR,MIA,@NE,3000,0,-5.91,12.7,6.79
Brandon Powell,WR,ATL,SEA,3000,0,-5.91,11.5,5.6
James O'Shaughnessy,TE,JAX,IND,3000,0,-5.46,12.8,7.34
Kalif Raymond,WR,TEN,@DEN,3000,0,-5.91,15.2,9.27
Trey Burton,TE,IND,@JAX,3000,0,-5.46,12.5,7.03
Corey Coleman,WR,NYG,PIT,3000,0,-5.91,11.9,6.01
Cameron Brate,TE,TB,@NO,3000,0,-5.46,12.6,7.14
Josh Bellamy,WR,NYJ,@BUF,3000,0,-5.91,12.8,6.85
Jacob Hollister,TE,SEA,@ATL,3000,0,-5.46,12.9,7.41
Pharoh Cooper,WR,CAR,LV,3000,0,-5.91,11.8,5.92
Nsimba Webster,WR,LAR,DAL,3000,0,-5.91,11.5,5.6
Collin Johnson,WR,JAX,IND,3000,0,-5.91,12,6.08
John Hightower,WR,PHI,@WAS,3000,0,-5.91,11.5,5.6
Diontae Spencer,WR,DEN,TEN,3000,0,-5.91,12,6.07
Brandon Zylstra,WR,CAR,LV,3000,0,-5.91,12.2,6.29
Cody Hollister,WR,TEN,@DEN,3000,0,-5.91,12.5,6.6
Isaiah Hodgins,WR,BUF,NYJ,3000,0,-5.91,11.5,5.6
Dalton Keene,TE,NE,MIA,3000,0,-5.46,13,7.51
John Ursua,WR,SEA,@ATL,3000,0,-5.91,12.2,6.27
DeAndre Carter,WR,HOU,@KC,3000,0,-5.91,11.5,5.6
Dezmon Patmon,WR,IND,@JAX,3000,0,-5.91,13.4,7.54
Kansas City Chiefs,DEF,KC,HOU,3000,2.3,-5.4,13.3,5.62
Indianapolis Colts,DEF,IND,@JAX,3000,2,-5.67,11.7,4.05
New Orleans Saints,DEF,NO,TB,3000,2,-5.68,11.6,3.97
Gerald Everett,TE,LAR,DAL,2900,0.5,-4.76,16,10.7
Durham Smythe,TE,MIA,@NE,2900,0,-5.28,12,6.73
Josh Hill,TE,NO,TB,2900,0,-5.28,13.3,7.99
Jaeden Graham,TE,ATL,SEA,2900,0,-5.28,11.5,6.24
Ricky Seals-Jones,TE,KC,HOU,2900,0,-5.28,12.8,7.49
Cincinnati Bengals,DEF,CIN,LAC,2900,1.6,-5.78,9.5,2.13
Virgil Green,TE,LAC,@CIN,2800,0,-5.1,12.3,7.19
Logan Thomas,TE,WAS,PHI,2800,0,-5.1,12.6,7.48
Nick Vannett,TE,DEN,TEN,2800,0,-5.1,11.9,6.78
Tyler Kroft,TE,BUF,NYJ,2800,0,-5.1,12.4,7.31
Josiah Deguara,TE,GB,@MIN,2800,0,-5.1,12.4,7.3
Los Angeles Chargers,DEF,LAC,@CIN,2800,2,-5.17,11.6,4.47
Seattle Seahawks,DEF,SEA,@ATL,2800,1.9,-5.26,11.1,3.94
Denver Broncos,DEF,DEN,TEN,2800,1.9,-5.27,11,3.9
Tennessee Titans,DEF,TEN,@DEN,2800,1.8,-5.36,10.5,3.33
Jacksonville Jaguars,DEF,JAX,IND,2800,1.6,-5.58,9.2,2.04
Ryan Izzo,TE,NE,MIA,2700,0,-4.91,11.9,6.97
Harrison Bryant,TE,CLE,@BAL,2700,0,-4.91,11.9,6.98
Chris Manhertz,TE,CAR,LV,2700,0,-4.91,11.8,6.93
Levine Toilolo,TE,NYG,PIT,2700,0,-4.91,11.7,6.76
Detroit Lions,DEF,DET,CHI,2700,1.9,-4.96,11.4,4.47
Atlanta Falcons,DEF,ATL,SEA,2700,1.7,-5.17,10.1,3.24
Houston Texans,DEF,HOU,@KC,2700,1.3,-5.61,7.5,0.6
Demetrius Harris,TE,CHI,@DET,2600,0,-4.73,11.5,6.79
Mo Alie-Cox,TE,IND,@JAX,2600,0,-4.73,12.9,8.16
Las Vegas Raiders,DEF,LV,@CAR,2600,1.8,-4.82,10.7,4.02
Robert Tonyan,TE,GB,@MIN,2500,0,-4.55,12.3,7.74
Anthony Firkser,TE,TEN,@DEN,2500,0,-4.55,12.7,8.11
Kahale Warring,TE,HOU,@KC,2500,0,-4.55,12.1,7.57
Zach Gentry,TE,PIT,@NYG,2500,0,-4.55,11.5,6.97
Luke Stocker,TE,ATL,SEA,2500,0,-4.55,13,8.41
Brycen Hopkins,TE,LAR,DAL,2500,0,-4.55,11.5,6.97
Cethan Carter,TE,CIN,LAC,2500,0,-4.55,11.9,7.36
Lee Smith,TE,BUF,NYJ,2500,0,-4.55,11.8,7.21
Blake Bell,TE,DAL,@LAR,2500,0,-4.55,12,7.4
Geoff Swaim,TE,TEN,@DEN,2500,0,-4.55,11.5,6.97
Adam Trautman,TE,NO,TB,2500,0,-4.55,12.4,7.87
Dalton Schultz,TE,DAL,@LAR,2500,0,-4.55,12.4,7.83
Marcus Baugh,TE,WAS,PHI,2500,0,-4.55,11.9,7.32
Deon Yelder,TE,KC,HOU,2500,0,-4.55,11.5,6.97
Trevon Wesco,TE,NYJ,@BUF,2500,0,-4.55,11.5,6.97
Foster Moreau,TE,LV,@CAR,2500,0,-4.55,13.2,8.64
Stephen Anderson,TE,LAC,@CIN,2500,0,-4.55,11.9,7.33
MyCole Pruitt,TE,TEN,@DEN,2500,0,-4.55,12.2,7.69
Andrew Beck,TE,DEN,TEN,2500,0,-4.55,11.5,6.97
Charlie Woerner,TE,SF,ARI,2500,0,-4.55,11.5,6.97
Antony Auclair,TE,TB,@NO,2500,0,-4.55,11.5,6.97
J.P. Holtz,TE,CHI,@DET,2500,0,-4.55,11.5,6.97
Carolina Panthers,DEF,CAR,LV,2500,1.7,-4.69,9.9,3.57
Miami Dolphins,DEF,MIA,@NE,2500,1.6,-4.79,9.4,2.98
New York Giants,DEF,NYG,PIT,2400,1.7,-4.44,9.9,3.77
Los Angeles Rams,DEF,LAR,DAL,2400,1.6,-4.51,9.5,3.35
Tampa Bay Buccaneers,DEF,TB,@NO,2200,1.5,-4.13,8.7,3.11
Cleveland Browns,DEF,CLE,@BAL,2200,1.3,-4.27,7.9,2.26
New York Jets,DEF,NYJ,@BUF,2100,1.6,-3.78,9.3,3.91
Arizona Cardinals,DEF,ARI,@SF,2100,1.6,-3.79,9.2,3.89
