Player,Position,Team,Opp,Salary,Floor,Value,Ceiling,Value
Teddy Bridgewater,QB,CAR,LV,5900,7.5,-9.2,28.8,12.14
Derek Carr,QB,LV,@CAR,5900,7,-9.7,28.7,12.03
Tyrod Taylor,QB,LAC,@CIN,5900,6.9,-9.83,29.9,13.17
Ryan Tannehill,QB,TEN,@DEN,5900,6.7,-9.97,29.5,12.76
Odell Beckham,WR,CLE,@BAL,5900,4.4,-7.27,23.9,12.28
Darren Waller,TE,LV,@CAR,5900,3.7,-7,19.3,8.6
Jarvis Landry,WR,CLE,@BAL,5900,3.7,-7.92,23,11.4
Kirk Cousins,QB,MIN,GB,5800,7.6,-8.82,29.1,12.71
Gardner Minshew,QB,JAX,IND,5800,7.2,-9.26,29.8,13.4
Joe Burrow,QB,CIN,LAC,5800,7.1,-9.31,30,13.57
Zach Ertz,TE,PHI,@WAS,5800,4.5,-6.1,20.9,10.36
DK Metcalf,WR,SEA,@ATL,5800,3.8,-7.62,23.5,12.11
T.Y. Hilton,WR,IND,@JAX,5800,3.7,-7.69,23.1,11.69
Raheem Mostert,RB,SF,ARI,5800,2.9,-7.34,21.5,11.26
Jared Goff,QB,LAR,DAL,5700,8.4,-7.75,29.8,13.66
Baker Mayfield,QB,CLE,@BAL,5700,5.9,-10.22,28.2,12.02
Dwayne Haskins,QB,WAS,PHI,5700,5.5,-10.61,27.6,11.43
A.J. Green,WR,CIN,LAC,5700,3.7,-7.49,22.9,11.7
Jonathan Taylor,RB,IND,@JAX,5700,2.5,-7.62,21.1,11.03
Sterling Shepard,WR,NYG,PIT,5700,2,-9.19,21.2,9.94
Emmanuel Sanders,WR,NO,TB,5700,2,-9.25,21.5,10.29
Deebo Samuel,WR,SF,ARI,5700,1.8,-9.38,21.5,10.24
Drew Lock,QB,DEN,TEN,5600,6.1,-9.76,29,13.11
Le'Veon Bell,RB,NYJ,@BUF,5600,4.1,-5.85,22.1,12.19
Terry McLaurin,WR,WAS,PHI,5600,3.8,-7.26,23.8,12.74
Michael Gallup,WR,DAL,@LAR,5600,3.4,-7.62,23,11.99
John Brown,WR,BUF,NYJ,5600,2.7,-8.35,22,11
Cam Akers,RB,LAR,DAL,5600,2.2,-7.7,20.6,10.74
Sam Darnold,QB,NYJ,@BUF,5500,4.1,-11.5,26,10.39
Melvin Gordon,RB,DEN,TEN,5500,3.1,-6.67,21.5,11.75
Brandin Cooks,WR,HOU,@KC,5500,3,-7.81,22.1,11.31
Jared Cook,TE,NO,TB,5500,2.2,-7.81,18.5,8.5
Marvin Jones,WR,DET,CHI,5500,1.9,-8.92,22.1,11.25
Phillip Lindsay,RB,DEN,TEN,5500,1.6,-8.13,19.4,9.64
Justin Herbert,QB,LAC,@CIN,5500,-1.3,-16.89,14.9,-0.71
Mitch Trubisky,QB,CHI,@DET,5400,6.9,-8.39,29.3,14.07
Marquise Brown,WR,BAL,CLE,5400,3.3,-7.35,23,12.41
Devin Singletary,RB,BUF,NYJ,5400,2.3,-7.22,20.2,10.64
Blake Jarwin,TE,DAL,@LAR,5400,1.9,-7.98,17.6,7.76
Hunter Henry,TE,LAC,@CIN,5300,3.1,-6.54,19.3,9.69
Marlon Mack,RB,IND,@JAX,5300,1.6,-7.8,19.2,9.79
Darren Fells,TE,HOU,@KC,5300,0,-9.65,15.2,5.54
Evan Engram,TE,NYG,PIT,5200,3.1,-6.33,19,9.57
Ronald Jones,RB,TB,@NO,5200,3.1,-6.14,21.2,12.02
Jamison Crowder,WR,NYJ,@BUF,5200,3,-7.23,21.9,11.69
Golden Tate,WR,NYG,PIT,5200,1.3,-8.97,20.4,10.2
Kareem Hunt,RB,CLE,@BAL,5100,3,-6.04,20.8,11.81
Henry Ruggs,WR,LV,@CAR,5100,1.8,-8.28,21.5,11.45
Austin Hooper,TE,CLE,@BAL,5100,1,-8.31,16.8,7.52
Jordan Howard,RB,MIA,@NE,5100,1,-8.06,17.8,8.79
Tyler Higbee,TE,LAR,DAL,5000,3.1,-5.98,18.9,9.79
Anthony Miller,WR,CHI,@DET,5000,2.6,-7.28,21.9,12.04
Matt Breida,RB,MIA,@NE,5000,1.4,-7.45,18.8,9.91
Christian Kirk,WR,ARI,@SF,5000,1.3,-8.5,20.4,10.55
J.K. Dobbins,RB,BAL,CLE,5000,1.3,-7.59,19.1,10.3
Mike Gesicki,TE,MIA,@NE,5000,1,-8.06,16.7,7.6
